name,age,team_name,position,pos_category,o_rapm,d_rapm,total_rapm,games,off_poss,tier,tier_name,tier_color,proj_1yr,proj_3yr,proj_5yr,tier_1yr,tier_3yr,tier_5yr,tier_change_1yr,tier_change_3yr,tier_change_5yr
Jordan McLaughlin,28.56399726214921,SAC,0,combo,0.5009495073521899,-2.5346602995854903,3.03560980693768,18,1271,2,All-NBA,#C0C0C0,-0.4488752804925267,-0.9888752804925267,-1.5288752804925276,5,5,6,-3,-3,-4
Dean Wade,27.94798083504449,CLE,0,forward,-1.5991575072508,-4.08078909880164,2.48163159155084,59,2222,2,All-NBA,#C0C0C0,-0.060750054498484474,-0.5945077547038236,-1.1345077547038234,5,5,5,-3,-3,-3
DeMar DeRozan,35.23613963039014,SAC,0,wing,2.49317521225582,0.4466844955440099,2.04649071671181,77,5890,2,All-NBA,#C0C0C0,0.27857698492568383,-0.2614230150743164,-0.8014230150743162,4,5,5,-2,-3,-3
Alex Len,31.378507871321013,SAC,0,big,-1.08918852010122,-2.11949194215735,1.0303034220561298,9,910,3,All-Star,#CD7F32,-1.7700542562083714,-2.310054256208371,-2.8500542562083715,6,6,6,-3,-3,-3
Alex Len,31.378507871321013,LAL,0,big,-1.08918852010122,-2.11949194215735,1.0303034220561298,9,910,3,All-Star,#CD7F32,-1.7700542562083714,-2.310054256208371,-2.8500542562083715,6,6,6,-3,-3,-3
Alex Len,31.378507871321013,SAC,0,big,-1.08918852010122,-2.11949194215735,1.0303034220561298,9,910,3,All-Star,#CD7F32,-1.7700542562083714,-2.310054256208371,-2.8500542562083715,6,6,6,-3,-3,-3
Alex Len,31.378507871321013,LAL,0,big,-1.08918852010122,-2.11949194215735,1.0303034220561298,9,910,3,All-Star,#CD7F32,-1.7700542562083714,-2.310054256208371,-2.8500542562083715,6,6,6,-3,-3,-3
Alex Len,31.378507871321013,SAC,0,big,-1.08918852010122,-2.11949194215735,1.0303034220561298,31,910,3,All-Star,#CD7F32,-1.7700542562083714,-2.310054256208371,-2.8500542562083715,6,6,6,-3,-3,-3
Alex Len,31.378507871321013,LAL,0,big,-1.08918852010122,-2.11949194215735,1.0303034220561298,31,910,3,All-Star,#CD7F32,-1.7700542562083714,-2.310054256208371,-2.8500542562083715,6,6,6,-3,-3,-3
Alex Len,31.378507871321013,SAC,0,big,-1.08918852010122,-2.11949194215735,1.0303034220561298,31,910,3,All-Star,#CD7F32,-1.7700542562083714,-2.310054256208371,-2.8500542562083715,6,6,6,-3,-3,-3
Alex Len,31.378507871321013,LAL,0,big,-1.08918852010122,-2.11949194215735,1.0303034220561298,31,910,3,All-Star,#CD7F32,-1.7700542562083714,-2.310054256208371,-2.8500542562083715,6,6,6,-3,-3,-3
Delon Wright,32.51745379876797,NYK,0,point,1.57790706253247,-2.51297948565994,4.09088654819241,10,1514,1,MVP Caliber,#FFD700,2.00098641611761,1.4609864161176098,0.9209864161176099,2,3,4,-1,-2,-3
Delon Wright,32.51745379876797,NYK,0,point,1.57790706253247,-2.51297948565994,4.09088654819241,25,1514,1,MVP Caliber,#FFD700,2.00098641611761,1.4609864161176098,0.9209864161176099,2,3,4,-1,-2,-3
Delon Wright,32.51745379876797,MIL,0,combo,1.57790706253247,-2.51297948565994,4.09088654819241,25,1514,1,MVP Caliber,#FFD700,2.00098641611761,1.4609864161176098,0.9209864161176099,2,3,4,-1,-2,-3
Delon Wright,32.51745379876797,NYK,0,point,1.57790706253247,-2.51297948565994,4.09088654819241,10,1514,1,MVP Caliber,#FFD700,2.00098641611761,1.4609864161176098,0.9209864161176099,2,3,4,-1,-2,-3
Delon Wright,32.51745379876797,MIL,0,combo,1.57790706253247,-2.51297948565994,4.09088654819241,10,1514,1,MVP Caliber,#FFD700,2.00098641611761,1.4609864161176098,0.9209864161176099,2,3,4,-1,-2,-3
Javonte Green,31.277207392197127,NOP,0,wing,2.09001557278214,-0.45775820377308,2.54777377655522,16,463,2,All-NBA,#C0C0C0,1.3350484136895868,0.7950484136895868,0.25504841368958675,3,4,4,-1,-2,-2
Javonte Green,31.277207392197127,CLE,0,wing,2.09001557278214,-0.45775820377308,2.54777377655522,16,463,2,All-NBA,#C0C0C0,1.3350484136895868,0.7950484136895868,0.25504841368958675,3,4,4,-1,-2,-2
Javonte Green,31.277207392197127,CLE,0,wing,2.09001557278214,-0.45775820377308,2.54777377655522,50,463,2,All-NBA,#C0C0C0,1.3350484136895868,0.7950484136895868,0.25504841368958675,3,4,4,-1,-2,-2
Javonte Green,31.277207392197127,NOP,0,wing,2.09001557278214,-0.45775820377308,2.54777377655522,16,463,2,All-NBA,#C0C0C0,1.3350484136895868,0.7950484136895868,0.25504841368958675,3,4,4,-1,-2,-2
Obi Toppin,26.663928815879533,IND,0,forward,2.97906602463672,0.40377307305576,2.57529295158096,79,3686,2,All-NBA,#C0C0C0,1.0372780434823619,0.6576065855768178,0.11760658557681791,3,4,4,-1,-2,-2
Kevin Huerter,26.18206707734429,CHI,0,wing,2.5317837790505697,0.14464077551299,2.38714300353758,43,3239,2,All-NBA,#C0C0C0,1.1211633643142516,0.7993153150329367,0.25931531503293676,3,4,4,-1,-2,-2
Tre Jones,24.815879534565365,CHI,0,wing,1.7163578969652398,0.54125829888079,1.17509959808445,28,4405,3,All-Star,#CD7F32,-0.6280795568423216,-0.7504614870271265,-1.1483670311749703,5,5,5,-2,-2,-2
Tre Jones,24.815879534565365,CHI,0,wing,1.7163578969652398,0.54125829888079,1.17509959808445,18,4405,3,All-Star,#CD7F32,-0.6280795568423216,-0.7504614870271265,-1.1483670311749703,5,5,5,-2,-2,-2
Delon Wright,32.51745379876797,MIL,0,combo,1.57790706253247,-2.51297948565994,4.09088654819241,25,1514,1,MVP Caliber,#FFD700,2.00098641611761,1.4609864161176098,0.9209864161176099,2,3,4,-1,-2,-3
Jonathan Isaac,27.08008213552361,ORL,0,forward,0.25689498628838,-3.74622441848945,4.00311940477783,71,1798,1,MVP Caliber,#FFD700,1.476765805446322,1.0471559491834885,0.5071559491834885,3,3,4,-2,-2,-3
Anthony Edwards,23.241615331964407,MIN,0,combo,2.06659728072067,-1.30934325121722,3.37594053193789,79,5585,2,All-NBA,#C0C0C0,0.6836619273379262,0.6836619273379262,0.4974196275432651,4,4,4,-2,-2,-2
Donovan Mitchell,28.150581793292265,CLE,0,combo,3.11045166636874,-0.37119578793662,3.48164745430536,71,3997,2,All-NBA,#C0C0C0,1.4196183522365617,0.8796183522365615,0.33961835223656256,3,4,4,-1,-2,-2
Javonte Green,31.277207392197127,CLE,0,wing,2.09001557278214,-0.45775820377308,2.54777377655522,16,463,2,All-NBA,#C0C0C0,1.3350484136895868,0.7950484136895868,0.25504841368958675,3,4,4,-1,-2,-2
Dante Exum,29.305954825462013,DAL,0,combo,2.49143791424403,-0.57281375076428,3.0642516650083103,20,2202,2,All-NBA,#C0C0C0,1.2882014588758326,0.7482014588758334,0.20820145887583347,3,4,4,-1,-2,-2
